id;title;comment_content;comment_by;comment_status;is_active
1;Auto Loan Account modular Refined;digital maroon;EXE projection Fresh;support Gorgeous;false
2;synergies copying;ability Hat Iraq;magenta Concrete;User-centric Gloves;false
3;Oklahoma facilitate;Engineer;Exclusive Moroccan Dirham card;zero tolerance;false
4;Personal Loan Account;paradigms Home;Investor Public-key;Lebanon;false
5;Dominican Republic Credit Card Account Handmade;Ergonomic transmitter;Point Orchestrator;Solomon Islands Licensed;true
6;installation;Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;false
7;Quality;synthesize Creative;Forint;Concrete Global SMS;false
8;deposit;Designer Borders content-based;Tasty Customer Human;pink even-keeled;true
9;programming SCSI drive;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;invoice Home Gloves;true
10;Cayman Islands Dollar invoice;Fish;Networked;Fish;false
